text,label_binary,label_original,dataset_name
পোস্ট দেখলে আপনার সাথেও লাগবে,1,Sarcastic,banglasarc3
এসব আবেগী পোস্ট আমরাও করছিলাম রেজাল্ট কি হলো আমিও প্রবাসী জীবন যুদ্ধে টিকে থাকতে হলে টাকা ইনকাম করাটা খুব জরুরী যেহেতু দেশের কর্মসংস্থা ভালো না ধন্যবাদ,0,Non-Sarcastic,banglasarc3
পৃথিবীর অন্য দেশ গুলিতে যা সম্ভব না সে কাজ গুলি আমার সোনার দেশে সম্ভব সোনার মানুষদের দ্বারা,1,Sarcastic,banglasarc3
কাম সারছে খেলা শেষে না ১১ টা প্লেয়ারের এগারোটা বাচ্চা হয়ে যায়,1,Sarcastic,banglasarc3
সিলেট জেলার গোয়াইনঘাট উপজেলার মানুষ পানিবন্ধি স্মরণকালের ভয়াবহ বন্যা,0,Non-Sarcastic,banglasarc3
বাহ নামগুলো তো ভাল্লাগছে ওর বাপ দাদা চৌদ্দগুষ্ঠি মিলেও এতো সুন্দর নামগুলো রাখতে পারতো না,1,Sarcastic,banglasarc3
অনেক সুন্দর কথা বললেন এগুলো একটু বেশি বাড়াবাড়ি হচ্ছে এই ইতিহাসের পুনরাবৃত্তি হলে তারাও একই পথে হাঁটবে এটা স্বাভাবিক,0,Non-Sarcastic,banglasarc3
চাইনিজ যে লোকটা ক্যামেরা নিয়ে দৌড়াচ্ছে তাকে কেমন বেতন দিতে হয় মাসে,1,Sarcastic,banglasarc3
এমন বয়ফ্রেন্ড কই পাবো,1,Sarcastic,banglasarc3
নাফিসের যাত্রা শুরু হয়েছিল আত্মবিশ্বাসের সঙ্গে কিন্তু তার অবস্থা এখন অনেক বদলে গেছে,0,Non-Sarcastic,banglasarc3
প্রতিটি গোলাপ নেয়ার মানুষ টা তার গোলাপ দেয়ার মানুষটার কাছে এক একটি লাল গোলাপ সুতরাং অন্য রঙের গোলাপের কোন কদর তাদের কাছে নেই,0,Non-Sarcastic,banglasarc3
চোখ যেন বিপিএলেই থাকে নারীর দিকে যেন না যায় সেদিকে খেয়াল রাখবেন,1,Sarcastic,banglasarc3
তিন দিকে ভারত একদিকে বঙ্গোপসাগর মধ্যখানে চিকন একটা নাফ নদী,1,Sarcastic,banglasarc3
খেলা কি দেখো ভাইয়া লাস্ট ২ টা এলক্লাসিকোতে ৯ গোল হজম করেছে আবার আজকে সেলটা ভিগোর সাথে কোপা দেল রে এর রাউন্ড অফ ১৬ তে ২ ০ গোলে এগিয়ে থেকে ৯২ মিনিটের মাথায় ২ গোল খেয়ে ড্র হলো এখন এক্সট্রা টাইমের খেলা চলতেছে যদি হেরে যায় তাইলে এই লজ্জা নিয়ে কথা ও বোলতে পারবা না সেল্টা ভিগো লা লিগার ১২ নাম্বার একটা দল এইটা মাথায় রাখিও,0,Non-Sarcastic,banglasarc3
আগে বন্যর পানি কিছু টা কমুক,1,Sarcastic,banglasarc3
এ মাগীর দালালেরা আবার বাংলালিংক নেক্সট টিউবারের বিচারক সাজে,0,Non-Sarcastic,banglasarc3
আমি কাটিয়েছি এই দিন গুলো,0,Non-Sarcastic,banglasarc3
ঘেও ঘেও লিগ,1,Sarcastic,banglasarc3
ব্রাদার একটু হেগে আসেন মাথায় চাপ পরে যাচ্ছে যে,1,Sarcastic,banglasarc3
পরকাল বিশ্বাস করলে কি আর যা ইচ্ছা তাই করা যায় এরা হচ্ছে স্বঘোষিত প্রকৃত কাফের অবিশ্বাসী কবরে গেলেই বুঝতে পারবে কি আছে আর কি নেই এরা মারা গেলে কেন যে জনাযা পড়ায় আর দোয়া করে এটা আমার বোধগম্য হয় না যেমন মরবে তেমন মমি করে রেখে দেওয়া যেতে পারে বা পরীক্ষাগারে গবেষণার জন্য ফ্রিজআপ করা যেতে পারে,0,Non-Sarcastic,banglasarc3
ভাই আপনার মুখ থেকে কি এখনও জেসিয়ার পাদের হাগুর গন্ধ আসে,1,Sarcastic,banglasarc3
বাংলাদেশে ঘুমাতেও ভয় লাগে যদি কোনো বিনোদন মিস করি,1,Sarcastic,banglasarc3
আমি এই বিষয়ে একটা রিড দিবো দেখি কি করা যায়,1,Sarcastic,banglasarc3
সবুর করো সবুর কা ফল মিঠা হোতা হে,0,Non-Sarcastic,banglasarc3
আপনাদের অনেকরই কমেন্ট দেখলাম মোবাইল টিপলে নাকি কারো আম্মায় কিছু কয় না,1,Sarcastic,banglasarc3
আসছে নতুন বলিউড মুভি অক্ষয় কুমার ববি দেওলরা এবার বিমান হামলা করে আমেরিকা ধ্বংস করে ফেলবে,1,Sarcastic,banglasarc3
পুলিশ কমপ্লিট একটা মিথ্যাবাদী যদি তার মানসিক সমস্যা থাকতো তাহলে সে পরীক্ষায় কেমনে উর্ওীর্ণ হলো কেমনে কনস্টেবল হলো,0,Non-Sarcastic,banglasarc3
মাশাল্লাহ এভাবেই বাংলাদেশ এগিয়ে যাবে ভাইয়া,0,Non-Sarcastic,banglasarc3
হ্যা প্লেন তো করেছিলো আমাকে নিয়ে সাথে আরো,1,Sarcastic,banglasarc3
জীবনটা ঐ সময় অনেক ভালো ছিল আর হয়তো এত আগ্রহ নিয়ে পড়া হবে না বাংলা বইয়ের গল্প গুলো,0,Non-Sarcastic,banglasarc3
বালের পেচাল ছাড়েন আওয়ামিলীগ কি করছে আমরা জানি বলতে হবেন যদি বাংলাদেশ এই বারও আগের মত মানে অতীতে যা করছে তার মত করে যে রাজনৈতিক দল নির্বাচিত হবে তা হলে আপনিও এর জন্য দায়ী থাকবেন,0,Non-Sarcastic,banglasarc3
২ লাক্ষ ২৩ হাজার মানুষের উপরের টা কিন্তু ভাই আগেই আমি বলে রাখলাম এখন নিচের ২ লাক্ষ ২৩ হাজার মানুষ কে কথায় থাকবেন ঠিক করে নেন উপরের টা কিন্তু আমি,1,Sarcastic,banglasarc3
প্রতিটি মা তার ছেলের রোজগারের সাফল্যে গর্বিত হতে চায়,0,Non-Sarcastic,banglasarc3
রাখবো তো কিন্তু আগে তো গার্লফ্রেন্ড টা দরকার ভাই,1,Sarcastic,banglasarc3
সরকারি প্রতিষ্ঠানে হাজার কোটি টাকা বিল বকেয়া সেই খবর নাই,1,Sarcastic,banglasarc3
আমি আমার ১৮ বছর বয়স পযন্ত এভাবে কারো হাত ধরি নাই,1,Sarcastic,banglasarc3
রোমান্টিক হিরো ক্যাটাগরিতে বাংলাদেশ থেকে সূদুর ইউরোপ পর্যন্ত প্রিয় নায়ক রিয়াজ এক অদ্বিতীয়,1,Sarcastic,banglasarc3
কোটা দিয়ে সিজি তোলা যায় না,1,Sarcastic,banglasarc3
ইন্না লিল্লাহ আমি এই আফার খোমা জীবনে দেখি নাই নাম ও শুনি নাই এখন দেখি হেতের ফেসবুকে ৭ ৫০ লাখ ফোলোয়ারস হেতে কি নিজেরে নাস্তিক ঘোষণা দেওয়ার পর এত্ত ফেমাস হইছে নাকি আগেই ফেমাস ছিলো,0,Non-Sarcastic,banglasarc3
মশার কারনেও হতে পারে অযথা আপ্নারা ভাইটার বউটাকে দুষছেন,1,Sarcastic,banglasarc3
উন্নয়ন উন্নয়ন উন্নয়ন,0,Non-Sarcastic,banglasarc3
সে নাকি বাড়ি ভাঙ্গা দেখিয়ে আবার ইউরোপে রাজনৈতিক আশ্রয় নেবে,1,Sarcastic,banglasarc3
এই টার জন্যই আমার প্রেমটা ঠিকানাই ভাই,1,Sarcastic,banglasarc3
সবচেয়ে জরুরি এটা যেন ধ্বংস করতে না পারে এই স্থাপনা টিকিয়ে রাখা এই সরকারের বড় চ্যালেঞ্জ,0,Non-Sarcastic,banglasarc3
নিজে পায়না শুতে জায়গা আবার শঙ্করকে ডাকে,1,Sarcastic,banglasarc3
ক্ষমতা চিরদিন থাকেনা হায়রে জোর যার মুল্লুক তার,0,Non-Sarcastic,banglasarc3
পাকা খেলোয়াড় না হলে নিজের ৬০০০ কোটি টাকা ট্যাক্স মওকুফ করায়ে জনগণের উপর ১২০০০ কোটি টাকার ট্যাক্স ভ্যাট চাপিয়ে দিতে পারতেন না,0,Non-Sarcastic,banglasarc3
এটা আফসোসেরও কিছু নাই আপনার মার শাড়ি নাই আপনি ২০০০০ টাকা দামের মোবাইল দিয়ে সেটা পোস্ট দিলেন আফসোসতো হলো এটাই,0,Non-Sarcastic,banglasarc3
বুলডোজার তো ইন্ডিয়ার বর্ডার দিয়ে এসেছে৷ বিবিসি এতো খোঁজ রাখে আর এই খবর টা জানতে এতো সময় লাগলো আফসোস,1,Sarcastic,banglasarc3
আল্লাহ এমন অবস্থা কাউকে দিয়েন না ঋণ থাকা অবস্থায় কারো মৃত্যু দিয়েন না,0,Non-Sarcastic,banglasarc3
গুজবে কান দিতে নেই একবার বিয়ে টা করেন প্রমান পেয়ে যাবেন,0,Non-Sarcastic,banglasarc3
সালমান তোর এইসব বালচাল বিডিও দেখার ইন্টারেস্ট মানুষের নাই,0,Non-Sarcastic,banglasarc3
দোয়া করি আল্লাহ যেন আশিককে সুস্থও নেক হায়াত দারাজ করেন আমিন,0,Non-Sarcastic,banglasarc3
একদিন আম ফুরিয়ে যাবে গোলাপ শুকিয়ে যাবে খাটি সরিষার তেল সেটা তো রয়ে যাবে,1,Sarcastic,banglasarc3
আমরা আল্লাহর কাছেই এর বিনিময় কামণা করি,1,Sarcastic,banglasarc3
আপনি কার কার সমকামী,1,Sarcastic,banglasarc3
এগুলো হালাল খুনশুটি এগুলো নিয়ে কথা বলা ঠিক না,1,Sarcastic,banglasarc3
স্বীকার করলি তোরা ভুল জেনারেশন ওকে সময় হলে তোদেরকে সঠিক পথে আনা হবে,0,Non-Sarcastic,banglasarc3
বাংলা সিনেমায় আবেগ বেশি আবেগে কালার চেঞ্জ হয়ে যায়,1,Sarcastic,banglasarc3
পেয়েছিলাম একজন কে ভাগ্যক্রমে হারিয়ে ফেলেছি,0,Non-Sarcastic,banglasarc3
হারামির প্রশংসা হারামি করে,0,Non-Sarcastic,banglasarc3
আমি যে বছর প্রথম প্রেমে পড়লাম সেই গোটা বছরটাই আমার জন্য বসন্ত হয়ে গেলো আমি ফুল তুললাম ঘ্রাণ নিলাম ফুলকে এমন রূপ পেয়ে তাঁকে খুব কাছে ছুয়ে দিলাম এরপর সেই গোটা বছর যেতে না যেতেই নেমে এলো বর্ষা সেই যে বর্ষণ আজও থামলো না সব কিছু ভেঙ্গে চুড়ে গেছে আমি কেবল বাধটা বাঁচানোর চেষ্টা করে যাচ্ছি ক্রমাগত সম্বল বলতে সেই ফুল বসন্ত সেসব কিছু নেই একটা ঘর আছে কেবল সেখানে আমি ছাড়া আর কেউ নেই,0,Non-Sarcastic,banglasarc3
তিতুমীর কে প্রাথমিক বিদ্যালয় করা হোক,1,Sarcastic,banglasarc3
এমন নেতা পেয়ে সবাই আমরা গর্ভবতী,1,Sarcastic,banglasarc3
খুবই খারাপ সিদ্ধান্ত ব্যাগ রাখার জায়গা রাখবেন না তা কি করে হয়,0,Non-Sarcastic,banglasarc3
তারা ভাবছে বাকি ১০০ বছর তারাই শাসন করবে অতিরঞ্জিত কিছু ভালো নয়,0,Non-Sarcastic,banglasarc3
যখন ভর্তি হয়েছে তখন কলেজ জেনেই এবং মেনেই ভর্তি হয়েছে এখন বিশ্ববিদ্যালয় লাগবে কেন,0,Non-Sarcastic,banglasarc3
সে কী কেবলই চোখের জল,1,Sarcastic,banglasarc3
সব ব্লগারের তো ব্রেইন নাই যাদের বলেছেন তারা এটা দেখে হাসবে বাশ দিছেন এটা বুঝবে না,1,Sarcastic,banglasarc3
গবেষণাধর্মী প্রজেক্টে কাজ করা অনেক সময় অত্যন্ত কঠিন এবং সময়সাপেক্ষ,0,Non-Sarcastic,banglasarc3
এই সরকারের প্রধান উপদেষ্টা ডক্টর ইউনুস নিজেই একজন টেক্স চোর তার নিজের ট্যাক্স মাপ করাইছে ৬০০ কোটি টাকা তারপর আরো ছয় বছর এক্স দিবে না সেটা মাফ করাইছে তার ক্ষমতায় আসার লাভ সে করে নিচ্ছে,0,Non-Sarcastic,banglasarc3
মনটা ভরে গেল এসব ভাইদের প্রতি মানবতা দেখে মন থেকে দোয়া করি সবার জন্য যেন এভাবেই আমরা একজন আরেকজনের পাশে দাঁড়াতে পারি সব সময় সবার প্রতি ভালোবাসা,0,Non-Sarcastic,banglasarc3
আসেন সবাই সবাইকে সাপোর্ট করি ফলো করি,1,Sarcastic,banglasarc3
কথা এভাবে হবে যে পৃথিবীর একমাত্র ছেলে যে তার বাবাকে পথ ভ্রষ্ট করেছে,0,Non-Sarcastic,banglasarc3
বেশি লেখাপড়া করে দেখা হইছে চাকরি করতে চায় স্বামীর খেদমত করতে চায় না তবে বিভিন্ন বসের খেদমত করতে চায়,0,Non-Sarcastic,banglasarc3
এমন গার্লফ্রেন্ড কোথায় পাওয়া যাবে,1,Sarcastic,banglasarc3
পণ্ডিত নিজের দোষ ত্রুটির খবর নাই৷ আসছে অন্যকে জাজ করার কৌশল নিয়ে,0,Non-Sarcastic,banglasarc3
এভাবেই অনলাইনের পোডাক্ট বিক্রি করে ভাই দেখায় ঝাক্কাস আলী হাতে পাই আক্কাস আলী,1,Sarcastic,banglasarc3
কিন্তু তোমার সাথে বিয়েটা যে হচ্ছে না,0,Non-Sarcastic,banglasarc3
কংকা কে গ্রেফতার করছেন তো তিতলির জামাইয়ের ও পদত্যাগ চাই,1,Sarcastic,banglasarc3
তোমাদের উপর আল্লাহর লানত বর্ষিত হোক,0,Non-Sarcastic,banglasarc3
জেসিয়া ওরে খেয়ে ছেড়ে দেয়া এক লুইচ্চার বাসায় গিয়ে নাকি ভাঙচুর করছে ঘটনা কিছু শুনছেন সালমান ভাই,1,Sarcastic,banglasarc3
নিব্বিরা এমন ই হয় আপনে ৩০ বছরের ম্যাচিউরড মেয়ে ডিজার্ভ করেন,1,Sarcastic,banglasarc3
আসিফ নজ্রুল হইলে বুঝতো,1,Sarcastic,banglasarc3
তাদের হেদায়েতের জন্য প্রতিনিয়ত দুআ করি,1,Sarcastic,banglasarc3
জীবনটা ক্ষনস্থায়ী জীবনটা অনিশ্চিত,1,Sarcastic,banglasarc3
নিজে নিজে কিভাবে ইউনিভার্সিটিতে আবেদন করা যায় ভাইয়া দেখায়ে তো দিলেন না,0,Non-Sarcastic,banglasarc3
নাস্তিক বা আস্তিক সবারই উপকার হবে বলে আশাকরি এই পোষ্টটি থেকে,0,Non-Sarcastic,banglasarc3
আহা জ্বলে রে জ্বলে কাল রাতে ইস্কন আলমের আউব্বার ৩২ নাম্বার পিনাকী আগুনে ভষ্ম হয়ে গিয়েছে তো তাই ইসকন আলমের জ্বলে মুখ ফুটে মুখোশের আড়াল থেকে বেরোতে পারছে না,0,Non-Sarcastic,banglasarc3
মা একটা মেয়ে পুতুল বানায় দিছিল এলুমিনিয়ামের হাঁড়িপাতিলের সেট ছিল পুতুল মেয়েটাকে জামা কাপড় পরাতাম শাড়ি পরাতাম হাঁড়ি পাতিলে রান্না করতাম বালি দিয়ে পোলাও ভাত পানি আর হলুদ গুড়া দিয়ে ডাউল কি যেন একটা গাছ ছিল তার ডাল কেটে পানিতে রেখে দিতাম ওগুলো সেমাই রান্না ছিল কিসব পাতা টাতা দিয়ে তরকারি রান্না করতাম আহা কি দুশ্চিন্তামুক্ত সুখের দিন ছিল,0,Non-Sarcastic,banglasarc3
অবশ্যই এমন ছবি আপনার কাছে কাম্য নয় আর একটু শালীনতা বজায় রাখা উচিৎ আপনি একজন যোদ্ধা আর যোদ্ধা কখনো শরীর বিক্রি করে না,0,Non-Sarcastic,banglasarc3
মায়ের জীবনে সন্তানের ভালোবাসাই সবচেয়ে বড় শক্তি,0,Non-Sarcastic,banglasarc3
কমরেড সুবর্ণ কে লাল সালাম এই মুহূর্তে দরকার কমরেড সরকার,1,Sarcastic,banglasarc3
সবাই সাপুট করো সাপুট পাবা,1,Sarcastic,banglasarc3
আজ হারুন বেঁচে থাকলে ওর রাতের ডিনার হয়ে যেতো,1,Sarcastic,banglasarc3
একবারে সঠিক কথা আমার জীবন শেষ,1,Sarcastic,banglasarc3
ভাই তোদের কি মনে হয় আমরা ব্রিটিশদের হাত থেকে বেঁচেছি আরে নারে ভাই ব্রিটিশরা আমাদের থেকে বেঁচে পালিয়েছে,1,Sarcastic,banglasarc3
এহহে ইঞ্জিনিয়ার শব্দটার প্রতি আস্থা চইলা গেলো আপনার পোস্ট দেখে পারেনও ভাই আপনি অদ্ভূত,0,Non-Sarcastic,banglasarc3
আমার আপু বলে কথা,1,Sarcastic,banglasarc3
বর্তমানে সাংবাদিক গুলো সাংঘাতিক হয়ে গেছে,0,Non-Sarcastic,banglasarc3
আমি বেলার ভাই বলছি সে এখন ঘুমাচ্ছে সে এখনও এই পোস্ট টা দেখে নাই সে দেখার আগেই তোমাকে ব্লক করে দিচ্ছি,1,Sarcastic,banglasarc3
তোমার দেওয়া সমাধান এতই ইউনিক আর যুগান্তকারী যে সেগুলো কাজে লাগালে পৃথিবী হয়তো সময়ের একশ বছর পিছিয়ে যাবে,1,Sarcastic,banglasarc3
অফিসে যে সব কলিগ সমান সমান কাম কাজ করে তাদের সমকামী বলে,1,Sarcastic,banglasarc3
নিচে যাবার প্রয়োজন নেই আমি এখনই চক্কর লাগিয়ে আসলাম তেমন কোন খাস কমেন্ট নেই কেউ সেই রকম খাস কিছু বলেনি,1,Sarcastic,banglasarc3
মূলত উত্তেজিত জনতার হাত থেকে বাচানো হচ্ছে তাদের আর আমরা খুশি হচ্ছি,0,Non-Sarcastic,banglasarc3
দেশের মেরুদন্ড ভাঙার চেষ্টা চলছে না তো,0,Non-Sarcastic,banglasarc3
বাদ দেন ভাই বেডি মানুষ,1,Sarcastic,banglasarc3
রাস্তার ধারে ও স্কুল কলেজের পাশে বেশি বেশি নিম গাছ লাগানো দরকার,0,Non-Sarcastic,banglasarc3
দুইপাশের দুইটা মুমিনুল আর বাভুমা আর মাঝেরটা মোহাম্মদ ইরফান,1,Sarcastic,banglasarc3
হায়রে আবেগ আর আবেগ ভাইরাল হবার পর সব আবেগ শেষ,1,Sarcastic,banglasarc3
আপনার জানাবোঝার পরিধি অনেক কম বাড়ান ইন্টারভিউ ডেকে লোকজন জড়ো করে পিআর করেন তিনি আর মিডিয়ায় কোন কোন জায়গায় ঘনিষ্ঠ আর কারা তার পিআর করে আগে জানেন ঢালাও যা মন চায় লিখে দেন,0,Non-Sarcastic,banglasarc3
যার যায় সে বুঝে বাকিদের কাছে শুধু পাতা নড়ে,0,Non-Sarcastic,banglasarc3
এগুলি মুজিব পূজারী মুজিবের পূজা করে,0,Non-Sarcastic,banglasarc3
জামদানির আত্বার মাগফেরাত কামনা করি,1,Sarcastic,banglasarc3
মৌলিক অধিকার হরণের কারণে ইসির পদত্যাগের ঘোষণার তথ্যটি দিয়ে জাতিকে মুগ্ধ করূন,0,Non-Sarcastic,banglasarc3
নাস্তিক আবার,0,Non-Sarcastic,banglasarc3
ভাই এইগুলা দেখলে এখন নিজেকে ছাগল মনে হয় আমরা বাঙালী পারিও আবালদের নায়ক ভাবতে,0,Non-Sarcastic,banglasarc3
কি ট্যালেন্ট রে বাবা ভাবা যায়,1,Sarcastic,banglasarc3
আজ গালি দেওয়ার মুড নাই তাই বাইঞ্চোদ রে গালি দিলাম না নাইলে ১ শুয়োরের বাচ্চা২ কুত্তার বাচ্ছা৩ হারামির বাচ্চা৪ হারামি৫ হারামজাদা৬ হারামখোর৭ খাঙ্কিরপোলা৮ খান্কি মাগির পোলা৯ চোদনা১০ চুদির ভাই১১ চুতমারানি১২ চুদির পোলা১৩ তর মায়রে চুদি১৪ তর মায়রে বাপ১৫ শালা১৬ শালার পো শালা১৭ হুমুন্দির পুত১৮ মাঙ্গির পুত৯ নাটকির পো২০ ল্যাউড়ার পুত২১ হাউয়ার পো২২ হাউয়ার নাতি২৩ চুদানির পো২৪ ভুদার বেটা২৫ লটির পো২৬ লটির বেটা২৭ ভেড়াচ্চোদা৩১ মাউড়া চোদা৩২ গুয়ার ভিতরে হোগার ভিতরে ভইড়া দিমু ৩৩ ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম ৩৪ হালা ল্যাওড়া চোদা৩৫ বানচোত৩৬ কুত্তাচোদা৩৭ তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু ৩৮ বালি দিয়া চুদমু তরে খাঙ্কি মাগী ৩৯ বালের রয়েল বেঙ্গল উকুন ৪০ তোর হউরিরে ডিগবাজী৪১ ছি ছি ছি৪৫ আল বদর৪৬ তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু ৪৮ বাল ফালায়া খালে নামানো৪৯ বাল ফালায়া আটিঁ বান্ধা ৫০ বালে বালে গিট্টু গোলাম আযম মইত্যা নিজামী গেলমান তিনকোনা৫ তৃনভোজ৫ চতুরচোর৫ মহাবুবস্ বাপের আগে বাল ফালায়৫৯৷ ভোদাই৬০৷ ভোদার বাল৬১৷ বাল৬২৷ বাল ছাল৬৩৷ ধোনের বাল৬৪৷ ধো,0,Non-Sarcastic,banglasarc3
আফসোস লীগ ছাড়া আর কেউ এইসব করবে না,1,Sarcastic,banglasarc3
ভাই আমাগো অটো পাস দিবে একটু আগেবাগে জানাবেন প্লিজ তাহলে পড়ালেখা বন্ধ করে দিব,0,Non-Sarcastic,banglasarc3
বিয়ের ক্ষেত্রে মূল্যবোধের মিল থাকাটা খুবই জরুরি একজনের কাছে যেটা জঘন্য পাপ অন্যজনের কাছে সেটা খুবই স্বাভাবিক বিষয় মূল্যবোধের সমতা বিষয়টা বিবেচনায় নিলে আজ জীবনটা অন্যরকম হতে পারত যাই হোক আল্লাহ্ উত্তম পরিকল্পনাকারী,0,Non-Sarcastic,banglasarc3
মোদী সাহেব ক্যান যে টিকটকের জ্বালে মেয়েটাকে ফাসালেন বলুন তো বেচারা মেয়েটা টিকটকে প্রেম করে একেবারে উড়াল দিলো আপনার জন্য,1,Sarcastic,banglasarc3
বারো রকমের ভাত রান্না করতে পারলে বারো ভা রী এখানে তো বিশ রকম ভাত রান্না চলছে,0,Non-Sarcastic,banglasarc3
হিড়িঁয়ে হিড়িঁয়ে আআআআআআআ,1,Sarcastic,banglasarc3
ভাই হোয়াটসঅ্যাপ নাম্বারটা দিয়েন কমেন্ট বক্সে গালি দিলে আইডিতে সমস্যা হয়,1,Sarcastic,banglasarc3
বিপিএলে ইতিমধ্যে আপনার পুরুষ দল বরাবর মারা খাচ্ছে আবার নারি দলের দিকে চোখ দিচ্ছেন,1,Sarcastic,banglasarc3
আর চাকরির পরিক্ষায় পাশ করেও চাকরি না দেয় তাহলে কোন অধিতার লঙ্গন হয় স্যার,0,Non-Sarcastic,banglasarc3
বদদা স্টেডিয়াম এত সাজানো কেন চিটাগাইঙ্গা পোয়ারা কোথায়,1,Sarcastic,banglasarc3
নতুন করি আবার গরিবের হক নষ্ট করার ফন্দি আল্লাহ তোদের বিচার করবে,0,Non-Sarcastic,banglasarc3
চ্যাংগাইয়া না শুইয়া থাইক্কা উঠেন আপনার জন্য করলা দিয়ে নুডুলস রান্না করেছি,1,Sarcastic,banglasarc3
গালী দিয়ে ধার্মিকরা কোন ধর্মের পরিচয় দিচ্ছেন কে ধার্মিক কে নাস্তিক তা তার ব্যক্তিগত ব্যপার আমাদের নবী সাঃ কাউকে আঘাত করে গালী দিয়ে জোর করে ইসলামের দাওয়াত দেননাই যারা গালী দিচ্ছেন তারা ইসলাম সম্পর্কে নূন্যতম জ্ঞ্যান রাখেন কিনা সন্দেহ,0,Non-Sarcastic,banglasarc3
প্রতিশ্রুতি রক্ষা না করা ব্যবসায়িক পরিবেশের জন্য ক্ষতিকর,0,Non-Sarcastic,banglasarc3
বেস্ট একজন শিক্ষককে দেখা যাবে এই প্লাটফর্মে শুভকামনা,0,Non-Sarcastic,banglasarc3
আলো দেয়ার জন্য কি শাড়ির আঁচল ফেলে দিছে,1,Sarcastic,banglasarc3
সব কিছুর জন্য আল্লাহর হুকুম প্রয়োজন,0,Non-Sarcastic,banglasarc3
নাটক কম করো প্রিয় সবাই জানে বেশি আবেগ ভালো না,0,Non-Sarcastic,banglasarc3
পৃথিবীতে কোন মানুষ কি ১০০ নিখুঁত আছে প্রতিটা মানুষের মধ্যে ভালো মন্দ দুই দিক থাকে আমরা তো নিজেরাই মা বাবা ভাই বোনের উপকার করতে গেলে কতবার হিসেব করি আর ওরা শত শত মানুষের উপকার করেছে তার মধ্যে কিছু অনিয়ম থাকবেই আমি অন্যদের খারাপ বলার আগে নিজে ভাবি যে আমার নিজের সব কি ভালো,0,Non-Sarcastic,banglasarc3
হায়রে ক্ষমতা সব বন্ধ করে দিবে ঈমান চলে গেলে যা হয় নিজেকে সর্ব শক্তিমান মনে হয় হায়রে মানুষ কিভাবে সম্ভব,0,Non-Sarcastic,banglasarc3
ট্রাম্প বাদে সবাই অবৈধ,1,Sarcastic,banglasarc3
আমরা খুব সহজেই মানুষের অবদান ভুলে যায়,0,Non-Sarcastic,banglasarc3
তোমার পাশে উনি কে এভাবে চেয়ে আছে তোমার দিকের খুব সুন্দর লাগছে,0,Non-Sarcastic,banglasarc3
আপনার মা স্টুডেন্টের বাবার বউ না তো আবার,1,Sarcastic,banglasarc3
এখন যত্ন সহকারে উট পাখির গরম ডিম দেওয়া হোক,1,Sarcastic,banglasarc3
পোস্ট কারীকে মনডা যা চাই,1,Sarcastic,banglasarc3
মেয়াদোত্তীর্ণ গাঞ্জা কতটা ভয়াবহ তা এইরকম পোস্ট ও এইরকম সাংবাদিক না দেখলে কোনোদিন বুঝতে পারতাম নাহ,1,Sarcastic,banglasarc3
সাবাশ হিরো আলম আলম,0,Non-Sarcastic,banglasarc3
আর্থিক লোকসান পুষিয়ে আবার দাঁড়াতে পারবে তো,0,Non-Sarcastic,banglasarc3
খুব সমস্যায় আছে দেশটা,0,Non-Sarcastic,banglasarc3
গুনীজনই গুনের কদর দিতে জানেন আল্লাহ তাকে বেহেস্ত দান করুন এখন জাতির উচিৎ তার পরিবারের পাশে দাড়ানো,0,Non-Sarcastic,banglasarc3
ভাই আমি জানিনা সে এই ৪০ মিনিটের রাস্তায় কোন মহৎ কার্য সাধন করতেছে আপনি যেভাবে বলতেছেন মনে হইতেছে সেই চল্লিশ মিনিট কাজ কইরা রাষ্ট্র জয় করে ফেলবে বিশ্ব জয় করে ফেলবে ভাই কাজে ফাঁকি দিছে চাপ পড়ছে তাই এখন বসে কাজ করতেছে,0,Non-Sarcastic,banglasarc3
চাচা পরিক্ষায় যেহুতু পাইনি দিয়ে কি করমু তাই খাতা ছিড়ে ফেলেছি,1,Sarcastic,banglasarc3
আমরা বাকস্বাধীনতায় বিশ্বাসী৷ নাস্তিকতা নিয়ে শুধু আসিফ নয় আরো অনেকের বক্তব্য প্রকাশ করা হয়েছে এর চলতি সংখ্যায়৷ পাবেন এই লিংকে,0,Non-Sarcastic,banglasarc3
বেশি করে পিনিক লইয়েন না এখন তো নিউজ পাবলিক দেখতাছে আর আপনার বেলায় কোন মিডিয়াই নিউজ করবে না,0,Non-Sarcastic,banglasarc3
মাথা ভর্তি টেনশন থাকলে জান্নাতি হুর ও তখন এক প্রকার বিরক্ত লাগে,0,Non-Sarcastic,banglasarc3
চোরকে সমর্থন করলে নিজেও চোর,0,Non-Sarcastic,banglasarc3
ভালো মানুষের বিপদ একটু বেশি থাকে,0,Non-Sarcastic,banglasarc3
ঠিকই আছে ঘুম যাবে কেন কথা বলবি আমার তো এমন প্রয়োজন,1,Sarcastic,banglasarc3
ভাই আপনি গান গাইতেছেন আর আমার এখান দিয়ে শরম লাগতাছে বুঝতাছিনা ব্যাপারটা কি,1,Sarcastic,banglasarc3
